anio,jur_desc,fin_desc,fun_desc,inciso_desc,ppal_desc,ff_desc,eco_desc,presupuesto
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL PERMANENTE","RENTAS GENERALES","SUELDOS Y SALARIOS",3046625900
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL PERMANENTE","RECURSOS CON AFECTACION ESPECIFICA","SUELDOS Y SALARIOS",126750000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL TEMPORARIO","RENTAS GENERALES","SUELDOS Y SALARIOS",17195600
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","ASIGNACIONES FAMILIARES","RENTAS GENERALES","PRESTACIONES SOCIALES",3970000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","ASISTENCIA SOCIAL AL PERSONAL","RENTAS GENERALES","PRESTACIONES SOCIALES",11816500
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","BENEFICIOS Y COMPENSACIONES","RENTAS GENERALES","BENEFICIOS Y COMPENSACIONES",20392000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS ALIMENTICIOS, AGROPECUARIOS Y FORESTALES","RENTAS GENERALES","BIENES DE CONSUMO",1920834
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","TEXTILES Y VESTUARIOS","RENTAS GENERALES","BIENES DE CONSUMO",714671
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE PAPEL, CARTON E IMPRESOS","RENTAS GENERALES","BIENES DE CONSUMO",9537226
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE PAPEL, CARTON E IMPRESOS","RECURSOS CON AFECTACION ESPECIFICA","BIENES DE CONSUMO",1728000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE CUERO Y CAUCHO","RENTAS GENERALES","BIENES DE CONSUMO",70754
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS QUIMICOS Y MEDICINALES","RENTAS GENERALES","BIENES DE CONSUMO",628404
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS QUIMICOS Y MEDICINALES","RECURSOS CON AFECTACION ESPECIFICA","BIENES DE CONSUMO",1600000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS METALICOS","RENTAS GENERALES","BIENES DE CONSUMO",617704
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE LA MINERIA, PETROLEO Y SUS DERIVADOS","RENTAS GENERALES","BIENES DE CONSUMO",2246204
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","RENTAS GENERALES","BIENES DE CONSUMO",10979303
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","RECURSOS CON AFECTACION ESPECIFICA","BIENES DE CONSUMO",115000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS BASICOS","RENTAS GENERALES","SERVICIOS NO PERSONALES",32030262
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","RENTAS GENERALES","SERVICIOS NO PERSONALES",35665713
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","RECURSOS CON AFECTACION ESPECIFICA","SERVICIOS NO PERSONALES",2012000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","RENTAS GENERALES","DERECHOS SOBRE BIENES INTANGIBLES",61399
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","RECURSOS CON AFECTACION ESPECIFICA","DERECHOS SOBRE BIENES INTANGIBLES",250000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","MANTENIMIENTO, REPARACION Y LIMPIEZA","RENTAS GENERALES","SERVICIOS NO PERSONALES",34161915
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","MANTENIMIENTO, REPARACION Y LIMPIEZA","RECURSOS CON AFECTACION ESPECIFICA","SERVICIOS NO PERSONALES",360000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS TECNICOS Y PROFESIONALES","RENTAS GENERALES","SERVICIOS NO PERSONALES",8275082
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS COMERCIALES Y FINANCIEROS","RENTAS GENERALES","SERVICIOS NO PERSONALES",9733544
